alpha,gen_error
0.0,0.5841452984069229
0.0625,0.5840106244987391
0.125,0.5833305157070101
0.1875,0.5851799457682222
0.25,0.5794285750184182
0.3125,0.5860315865001978
0.375,0.5854370582668691
0.4375,0.5488822019991927
0.5,0.47451091815640634
0.5625,0.38075774675651775
0.625,0.30137274190244573
0.6875,0.2411445893582055
0.75,0.20552106278741253
0.8125,0.18110879807634797
0.875,0.16365309393769106
0.9375,0.15398749486824034
1.0,0.14440068405413048
1.0625,0.13874995950267413
1.125,0.13389340602128216
1.1875,0.1317563043301489
1.25,0.12906308710810135
1.3125,0.12575084139374487
1.375,0.12323934912571877
1.4375,0.12121165810981263
1.5,0.12074590135326058
1.5625,0.11696317449049205
1.625,0.1174693109362527
1.6875,0.11790824450203112
1.75,0.1164068270837184
1.8125,0.11684210555907215
1.875,0.1156201537241975
1.9375,0.11538462882535137
2.0,0.11638639669674067
2.0625,0.11410085331050623
2.125,0.11496516691860562
2.1875,0.11354679413501043
2.25,0.11500764532288894
2.3125,0.11302030542398575
2.375,0.11180073747927649
2.4375,0.11446839035113202
2.5,0.11399143546466184
2.5625,0.11284892104378647
2.625,0.11272537640512019
2.6875,0.11339353716092643
2.75,0.11221060004104903
2.8125,0.11250614061369821
2.875,0.11146171027407747
2.9375,0.11253263114575122
3.0,0.11247131164153605
